"","Municipio","Ciclos_Presentes","Data_Plantio","Prob_Sucesso","Prob_fracasso","Qtd_El_Nino","Qtd_La_Nina","Qtd_Neutro","P_Suc_El_Nino","P_Suc_La_Nina","P_Suc_Neutro","Média_Ponderada"
"1","AGUA FRIA DE GOIAS",57,"01-09",1,0,13,14,30,1,1,1,1
"2","AGUA FRIA DE GOIAS",57,"11-09",1,0,13,13,31,1,1,1,1
"3","AGUA FRIA DE GOIAS",57,"21-09",1,0,14,15,28,1,1,1,1
"4","AGUA FRIA DE GOIAS",57,"01-10",1,0,13,15,29,1,1,1,1
"5","AGUA FRIA DE GOIAS",57,"11-10",1,0,13,13,31,1,1,1,1
"6","AGUA FRIA DE GOIAS",57,"21-10",1,0,11,13,33,1,1,1,1
"7","AGUA FRIA DE GOIAS",57,"01-11",1,0,13,13,31,1,1,1,1
"8","AGUA FRIA DE GOIAS",57,"11-11",1,0,13,15,29,1,1,1,1
"9","AGUA FRIA DE GOIAS",57,"21-11",1,0,12,13,32,1,1,1,1
"10","ARUANA",57,"01-09",1,0,15,15,27,1,1,1,1
"11","ARUANA",57,"11-09",1,0,13,18,26,1,1,1,1
"12","ARUANA",57,"21-09",1,0,15,15,27,1,1,1,1
"13","ARUANA",57,"01-10",1,0,12,13,32,1,1,1,1
"14","ARUANA",57,"11-10",1,0,14,15,28,1,1,1,1
"15","ARUANA",57,"21-10",1,0,12,18,27,1,1,1,1
"16","ARUANA",57,"01-11",1,0,14,16,27,1,1,1,1
"17","ARUANA",57,"11-11",1,0,13,13,31,1,1,1,1
"18","ARUANA",57,"21-11",1,0,14,13,30,1,1,1,1
"19","BARRO ALTO",57,"01-09",1,0,13,16,28,1,1,1,1
"20","BARRO ALTO",57,"11-09",1,0,14,14,29,1,1,1,1
"21","BARRO ALTO",57,"21-09",1,0,14,13,30,1,1,1,1
"22","BARRO ALTO",57,"01-10",1,0,15,14,28,1,1,1,1
"23","BARRO ALTO",57,"11-10",1,0,12,18,27,1,1,1,1
"24","BARRO ALTO",57,"21-10",1,0,14,14,29,1,1,1,1
"25","BARRO ALTO",57,"01-11",1,0,14,13,30,1,1,1,1
"26","BARRO ALTO",57,"11-11",1,0,14,12,31,1,1,1,1
"27","BARRO ALTO",57,"21-11",1,0,12,15,30,1,1,1,1
"28","CAIAPONIA",57,"01-09",1,0,14,14,29,1,1,1,1
"29","CAIAPONIA",57,"11-09",1,0,14,13,30,1,1,1,1
"30","CAIAPONIA",57,"21-09",1,0,15,14,28,1,1,1,1
"31","CAIAPONIA",57,"01-10",1,0,12,16,29,1,1,1,1
"32","CAIAPONIA",57,"11-10",1,0,15,14,28,1,1,1,1
"33","CAIAPONIA",57,"21-10",1,0,14,13,30,1,1,1,1
"34","CAIAPONIA",57,"01-11",1,0,15,13,29,1,1,1,1
"35","CAIAPONIA",57,"11-11",1,0,13,15,29,1,1,1,1
"36","CAIAPONIA",57,"21-11",1,0,14,15,28,1,1,1,1
"37","CACU",57,"01-09",1,0,14,14,29,1,1,1,1
"38","CACU",57,"11-09",1,0,15,13,29,1,1,1,1
"39","CACU",57,"21-09",1,0,15,15,27,1,1,1,1
"40","CACU",57,"01-10",1,0,13,16,28,1,1,1,1
"41","CACU",57,"11-10",1,0,14,13,30,1,1,1,1
"42","CACU",57,"21-10",1,0,11,13,33,1,1,1,1
"43","CACU",57,"01-11",1,0,13,13,31,1,1,1,1
"44","CACU",57,"11-11",1,0,13,16,28,1,1,1,1
"45","CACU",57,"21-11",1,0,12,14,31,1,1,1,1
"46","CAMPO ALEGRE DE GOIAS",57,"01-09",1,0,13,13,31,1,1,1,1
"47","CAMPO ALEGRE DE GOIAS",57,"11-09",1,0,14,14,29,1,1,1,1
"48","CAMPO ALEGRE DE GOIAS",55,"21-09",0.96,0.04,13,16,28,0.92,1,0.96,0.96
"49","CAMPO ALEGRE DE GOIAS",54,"01-10",0.95,0.05,12,17,28,0.92,1,0.93,0.95
"50","CAMPO ALEGRE DE GOIAS",54,"11-10",0.95,0.05,15,15,27,0.93,1,0.93,0.95
"51","CAMPO ALEGRE DE GOIAS",53,"21-10",0.93,0.07,14,17,26,0.93,1,0.88,0.93
"52","CAMPO ALEGRE DE GOIAS",54,"01-11",0.95,0.05,15,13,29,0.93,1,0.93,0.95
"53","CAMPO ALEGRE DE GOIAS",53,"11-11",0.93,0.07,15,16,26,0.87,1,0.92,0.93
"54","CAMPO ALEGRE DE GOIAS",55,"21-11",0.96,0.04,14,14,29,0.93,1,0.97,0.97
"55","EDEALINA",57,"01-09",1,0,14,15,28,1,1,1,1
"56","EDEALINA",57,"11-09",1,0,13,18,26,1,1,1,1
"57","EDEALINA",57,"21-09",1,0,14,15,28,1,1,1,1
"58","EDEALINA",57,"01-10",1,0,16,13,28,1,1,1,1
"59","EDEALINA",57,"11-10",1,0,15,15,27,1,1,1,1
"60","EDEALINA",57,"21-10",1,0,12,18,27,1,1,1,1
"61","EDEALINA",57,"01-11",1,0,14,14,29,1,1,1,1
"62","EDEALINA",57,"11-11",1,0,13,13,31,1,1,1,1
"63","EDEALINA",57,"21-11",1,0,15,14,28,1,1,1,1
"64","EDEIA",57,"01-09",1,0,13,18,26,1,1,1,1
"65","EDEIA",57,"11-09",1,0,15,14,28,1,1,1,1
"66","EDEIA",57,"21-09",1,0,14,13,30,1,1,1,1
"67","EDEIA",57,"01-10",1,0,15,14,28,1,1,1,1
"68","EDEIA",57,"11-10",1,0,12,17,28,1,1,1,1
"69","EDEIA",57,"21-10",1,0,15,14,28,1,1,1,1
"70","EDEIA",57,"01-11",1,0,12,13,32,1,1,1,1
"71","EDEIA",57,"11-11",1,0,15,13,29,1,1,1,1
"72","EDEIA",57,"21-11",1,0,13,16,28,1,1,1,1
"73","GOIANESIA",57,"01-09",1,0,15,16,26,1,1,1,1
"74","GOIANESIA",57,"11-09",1,0,13,14,30,1,1,1,1
"75","GOIANESIA",57,"21-09",1,0,13,13,31,1,1,1,1
"76","GOIANESIA",57,"01-10",1,0,14,15,28,1,1,1,1
"77","GOIANESIA",57,"11-10",1,0,13,14,30,1,1,1,1
"78","GOIANESIA",57,"21-10",1,0,13,13,31,1,1,1,1
"79","GOIANESIA",57,"01-11",1,0,12,13,32,1,1,1,1
"80","GOIANESIA",57,"11-11",1,0,13,13,31,1,1,1,1
"81","GOIANESIA",57,"21-11",1,0,13,15,29,1,1,1,1
"82","IACIARA",57,"01-09",1,0,15,14,28,1,1,1,1
"83","IACIARA",57,"11-09",1,0,14,14,29,1,1,1,1
"84","IACIARA",57,"21-09",1,0,15,17,25,1,1,1,1
"85","IACIARA",57,"01-10",1,0,14,15,28,1,1,1,1
"86","IACIARA",57,"11-10",1,0,15,13,29,1,1,1,1
"87","IACIARA",57,"21-10",1,0,14,15,28,1,1,1,1
"88","IACIARA",57,"01-11",1,0,12,17,28,1,1,1,1
"89","IACIARA",57,"11-11",1,0,14,16,27,1,1,1,1
"90","IACIARA",57,"21-11",1,0,14,13,30,1,1,1,1
"91","INDIARA",57,"01-09",1,0,14,15,28,1,1,1,1
"92","INDIARA",57,"11-09",1,0,13,18,26,1,1,1,1
"93","INDIARA",57,"21-09",1,0,14,14,29,1,1,1,1
"94","INDIARA",57,"01-10",1,0,14,13,30,1,1,1,1
"95","INDIARA",57,"11-10",1,0,15,14,28,1,1,1,1
"96","INDIARA",57,"21-10",1,0,12,18,27,1,1,1,1
"97","INDIARA",57,"01-11",1,0,14,15,28,1,1,1,1
"98","INDIARA",57,"11-11",1,0,13,13,31,1,1,1,1
"99","INDIARA",57,"21-11",1,0,14,13,30,1,1,1,1
"100","JOVIANIA",57,"01-09",1,0,13,17,27,1,1,1,1
"101","JOVIANIA",57,"11-09",1,0,15,14,28,1,1,1,1
"102","JOVIANIA",57,"21-09",1,0,14,13,30,1,1,1,1
"103","JOVIANIA",57,"01-10",1,0,15,14,28,1,1,1,1
"104","JOVIANIA",57,"11-10",1,0,12,17,28,1,1,1,1
"105","JOVIANIA",57,"21-10",1,0,14,14,29,1,1,1,1
"106","JOVIANIA",57,"01-11",1,0,13,13,31,1,1,1,1
"107","JOVIANIA",57,"11-11",1,0,15,12,30,1,1,1,1
"108","JOVIANIA",57,"21-11",1,0,13,15,29,1,1,1,1
"109","MONTIVIDIU",56,"01-09",0.98,0.02,15,16,26,1,1,0.96,0.98
"110","MONTIVIDIU",56,"11-09",0.98,0.02,14,15,28,1,1,0.96,0.98
"111","MONTIVIDIU",55,"21-09",0.96,0.04,12,13,32,1,1,0.94,0.97
"112","MONTIVIDIU",55,"01-10",0.96,0.04,11,14,32,1,0.93,0.97,0.97
"113","MONTIVIDIU",55,"11-10",0.96,0.04,12,14,31,1,0.93,0.97,0.97
"114","MONTIVIDIU",55,"21-10",0.96,0.04,13,14,30,1,0.93,0.97,0.97
"115","MONTIVIDIU",55,"01-11",0.96,0.04,13,12,32,1,0.92,0.97,0.97
"116","MONTIVIDIU",56,"11-11",0.98,0.02,13,12,32,1,0.92,1,0.98
"117","MONTIVIDIU",56,"21-11",0.98,0.02,14,13,30,1,0.92,1,0.98
"118","ORIZONA",57,"01-09",1,0,13,17,27,1,1,1,1
"119","ORIZONA",57,"11-09",1,0,15,15,27,1,1,1,1
"120","ORIZONA",57,"21-09",1,0,15,14,28,1,1,1,1
"121","ORIZONA",57,"01-10",1,0,14,14,29,1,1,1,1
"122","ORIZONA",57,"11-10",1,0,12,18,27,1,1,1,1
"123","ORIZONA",57,"21-10",1,0,14,16,27,1,1,1,1
"124","ORIZONA",57,"01-11",1,0,14,13,30,1,1,1,1
"125","ORIZONA",57,"11-11",1,0,13,14,30,1,1,1,1
"126","ORIZONA",57,"21-11",1,0,12,16,29,1,1,1,1
"127","PADRE BERNARDO",57,"01-09",1,0,14,14,29,1,1,1,1
"128","PADRE BERNARDO",57,"11-09",1,0,15,13,29,1,1,1,1
"129","PADRE BERNARDO",57,"21-09",1,0,15,14,28,1,1,1,1
"130","PADRE BERNARDO",57,"01-10",1,0,12,18,27,1,1,1,1
"131","PADRE BERNARDO",57,"11-10",1,0,14,14,29,1,1,1,1
"132","PADRE BERNARDO",57,"21-10",1,0,13,13,31,1,1,1,1
"133","PADRE BERNARDO",57,"01-11",1,0,14,13,30,1,1,1,1
"134","PADRE BERNARDO",57,"11-11",1,0,12,14,31,1,1,1,1
"135","PADRE BERNARDO",57,"21-11",1,0,14,15,28,1,1,1,1
"136","SANTO ANTONIO DA BARRA",57,"01-09",1,0,15,13,29,1,1,1,1
"137","SANTO ANTONIO DA BARRA",57,"11-09",1,0,15,14,28,1,1,1,1
"138","SANTO ANTONIO DA BARRA",57,"21-09",1,0,12,17,28,1,1,1,1
"139","SANTO ANTONIO DA BARRA",57,"01-10",1,0,15,14,28,1,1,1,1
"140","SANTO ANTONIO DA BARRA",57,"11-10",1,0,14,13,30,1,1,1,1
"141","SANTO ANTONIO DA BARRA",57,"21-10",1,0,15,14,28,1,1,1,1
"142","SANTO ANTONIO DA BARRA",57,"01-11",1,0,12,15,30,1,1,1,1
"143","SANTO ANTONIO DA BARRA",57,"11-11",1,0,14,15,28,1,1,1,1
"144","SANTO ANTONIO DA BARRA",57,"21-11",1,0,13,13,31,1,1,1,1
"145","SITIO DABADIA",57,"01-09",1,0,13,13,31,1,1,1,1
"146","SITIO DABADIA",57,"11-09",1,0,13,15,29,1,1,1,1
"147","SITIO DABADIA",57,"21-09",1,0,13,15,29,1,1,1,1
"148","SITIO DABADIA",57,"01-10",1,0,13,13,31,1,1,1,1
"149","SITIO DABADIA",57,"11-10",1,0,13,13,31,1,1,1,1
"150","SITIO DABADIA",57,"21-10",1,0,13,15,29,1,1,1,1
"151","SITIO DABADIA",57,"01-11",1,0,13,16,28,1,1,1,1
"152","SITIO DABADIA",57,"11-11",1,0,13,14,30,1,1,1,1
"153","SITIO DABADIA",57,"21-11",1,0,13,14,30,1,1,1,1
"154","SANTA HELENA DE GOIAS",57,"01-09",1,0,13,17,27,1,1,1,1
"155","SANTA HELENA DE GOIAS",57,"11-09",1,0,15,16,26,1,1,1,1
"156","SANTA HELENA DE GOIAS",57,"21-09",1,0,15,14,28,1,1,1,1
"157","SANTA HELENA DE GOIAS",57,"01-10",1,0,14,14,29,1,1,1,1
"158","SANTA HELENA DE GOIAS",57,"11-10",1,0,12,18,27,1,1,1,1
"159","SANTA HELENA DE GOIAS",57,"21-10",1,0,14,16,27,1,1,1,1
"160","SANTA HELENA DE GOIAS",57,"01-11",1,0,14,13,30,1,1,1,1
"161","SANTA HELENA DE GOIAS",57,"11-11",1,0,13,14,30,1,1,1,1
"162","SANTA HELENA DE GOIAS",57,"21-11",1,0,12,16,29,1,1,1,1
"163","ITAPACI",57,"01-09",1,0,14,15,28,1,1,1,1
