"","Municipio","Data_Plantio","MP_Long","Chance_Long","MP_Short","Chance_Short","Recomendação"
"1","AGUA FRIA DE GOIAS","01-09",1,"Media","1","Alta","Ciclo_Curto"
"2","AGUA FRIA DE GOIAS","11-09",0.98,"Media","1","Alta","Ciclo_Curto"
"3","AGUA FRIA DE GOIAS","21-09",0.94,"Alta","1","Alta","Ciclo_Curto_ou_Longo"
"4","AGUA FRIA DE GOIAS","01-10",0.93,"Alta","1","Alta","Ciclo_Curto_ou_Longo"
"5","AGUA FRIA DE GOIAS","11-10",0.9,"Alta","1","Alta","Ciclo_Curto_ou_Longo"
"6","AGUA FRIA DE GOIAS","21-10",0.9,"Alta","1","Alta","Ciclo_Curto_ou_Longo"
"7","AGUA FRIA DE GOIAS","01-11",0.88,"Alta","1","Alta","Ciclo_Curto_ou_Longo"
"8","AGUA FRIA DE GOIAS","11-11",0.89,"Alta","1","Alta","Ciclo_Curto_ou_Longo"
"9","AGUA FRIA DE GOIAS","21-11",0.91,"Alta","1","Alta","Ciclo_Curto_ou_Longo"
"10","ARUANA","01-09",1,"Media","1","Alta","Ciclo_Curto"
"11","ARUANA","11-09",1,"Media","1","Alta","Ciclo_Curto"
"12","ARUANA","21-09",1,"Media","1","Alta","Ciclo_Curto"
"13","ARUANA","01-10",1,"Media","1","Alta","Ciclo_Curto"
"14","ARUANA","11-10",1,"Media","1","Alta","Ciclo_Curto"
"15","ARUANA","21-10",1,"Media","1","Alta","Ciclo_Curto"
"16","ARUANA","01-11",1,"Media","1","Alta","Ciclo_Curto"
"17","ARUANA","11-11",1,"Media","1","Alta","Ciclo_Curto"
"18","ARUANA","21-11",1,"Media","1","Alta","Ciclo_Curto"
"19","BARRO ALTO","01-09",1,"Media","1","Alta","Ciclo_Curto"
"20","BARRO ALTO","11-09",1,"Media","1","Alta","Ciclo_Curto"
"21","BARRO ALTO","21-09",1,"Media","1","Alta","Ciclo_Curto"
"22","BARRO ALTO","01-10",1,"Media","1","Alta","Ciclo_Curto"
"23","BARRO ALTO","11-10",1,"Media","1","Alta","Ciclo_Curto"
"24","BARRO ALTO","21-10",1,"Media","1","Alta","Ciclo_Curto"
"25","BARRO ALTO","01-11",1,"Media","1","Alta","Ciclo_Curto"
"26","BARRO ALTO","11-11",1,"Media","1","Alta","Ciclo_Curto"
"27","BARRO ALTO","21-11",1,"Media","1","Alta","Ciclo_Curto"
"28","CAIAPONIA","01-09",1,"Media","1","Alta","Ciclo_Curto"
"29","CAIAPONIA","11-09",1,"Media","1","Alta","Ciclo_Curto"
"30","CAIAPONIA","21-09",0.98,"Media","1","Alta","Ciclo_Curto"
"31","CAIAPONIA","01-10",0.93,"Alta","1","Alta","Ciclo_Curto_ou_Longo"
"32","CAIAPONIA","11-10",0.88,"Alta","1","Alta","Ciclo_Curto_ou_Longo"
"33","CAIAPONIA","21-10",0.9,"Alta","1","Alta","Ciclo_Curto_ou_Longo"
"34","CAIAPONIA","01-11",0.91,"Alta","1","Alta","Ciclo_Curto_ou_Longo"
"35","CAIAPONIA","11-11",0.98,"Media","1","Alta","Ciclo_Curto"
"36","CAIAPONIA","21-11",0.98,"Media","1","Alta","Ciclo_Curto"
"37","CACU","01-09",1,"Media","1","Alta","Ciclo_Curto"
"38","CACU","11-09",1,"Media","1","Alta","Ciclo_Curto"
"39","CACU","21-09",0.98,"Media","1","Alta","Ciclo_Curto"
"40","CACU","01-10",0.95,"Media","1","Alta","Ciclo_Curto"
"41","CACU","11-10",0.89,"Alta","1","Alta","Ciclo_Curto_ou_Longo"
"42","CACU","21-10",0.91,"Alta","1","Alta","Ciclo_Curto_ou_Longo"
"43","CACU","01-11",0.94,"Alta","1","Alta","Ciclo_Curto_ou_Longo"
"44","CACU","11-11",0.96,"Media","1","Alta","Ciclo_Curto"
"45","CACU","21-11",0.98,"Media","1","Alta","Ciclo_Curto"
"46","CAMPO ALEGRE DE GOIAS","01-09",0.9,"Alta","1","Alta","Ciclo_Curto_ou_Longo"
"47","CAMPO ALEGRE DE GOIAS","11-09",0.82,"Alta","1","Alta","Ciclo_Curto_ou_Longo"
"48","CAMPO ALEGRE DE GOIAS","21-09",0.75,"Baixa","0.96","Media","Ciclo_Curto"
"49","CAMPO ALEGRE DE GOIAS","01-10",0.62,"Baixa","0.95","Baixa","Ciclo_Curto_ou_Longo"
"50","CAMPO ALEGRE DE GOIAS","11-10",0.6,"Baixa","0.95","Baixa","Ciclo_Curto_ou_Longo"
"51","CAMPO ALEGRE DE GOIAS","21-10",0.58,"Baixa","0.93","Baixa","Ciclo_Curto_ou_Longo"
"52","CAMPO ALEGRE DE GOIAS","01-11",0.61,"Baixa","0.95","Baixa","Ciclo_Curto_ou_Longo"
"53","CAMPO ALEGRE DE GOIAS","11-11",0.65,"Baixa","0.93","Baixa","Ciclo_Curto_ou_Longo"
"54","CAMPO ALEGRE DE GOIAS","21-11",0.7,"Baixa","0.97","Media","Ciclo_Curto"
"55","EDEALINA","01-09",1,"Media","1","Alta","Ciclo_Curto"
"56","EDEALINA","11-09",1,"Media","1","Alta","Ciclo_Curto"
"57","EDEALINA","21-09",1,"Media","1","Alta","Ciclo_Curto"
